"dataset","method","descriptor","testset","true_or_y_scrambled_labels_used","train_test_split","cv_split","accuracy","balanced_accuracy","recall","precision","AU_Prec_Rec_Curve","ROC_AUC","MCC","X","specificity","dataset_readable"
"MCNC","RF","ECFP","LOCO-CV","1","1","1",0.791666666666667,0.789044289044289,0.757575757575758,0.78125,0.775604744871843,0.850815850815851,0.579667133805243,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","LOCO-CV","1","1","1",0.763888888888889,0.765734265734266,0.787878787878788,0.722222222222222,0.747705215382862,0.8003108003108,0.529619939671158,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","LOCO-CV","1","1","2",0.722222222222222,0.70889063729347,0.612903225806452,0.703703703703704,0.784399780755074,0.791502753737215,0.427300702521108,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","LOCO-CV","1","1","2",0.708333333333333,0.700629425649095,0.645161290322581,0.666666666666667,0.753441196515765,0.728560188827695,0.403006571849678,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","LOCO-CV","1","1","3",0.75,0.737012987012987,0.678571428571429,0.678571428571429,0.744441802848409,0.752840909090909,0.474025974025974,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","LOCO-CV","1","1","3",0.708333333333333,0.709415584415584,0.714285714285714,0.606060606060606,0.664374906140991,0.758116883116883,0.40978407253675,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","LOCO-CV","1","1","4",0.75,0.75,0.75,0.65625,0.696641703784189,0.831168831168831,0.490535421758715,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","LOCO-CV","1","1","4",0.75,0.75,0.75,0.65625,0.632827934470701,0.804383116883117,0.490535421758715,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","LOCO-CV","1","1","5",0.75,0.75,0.694444444444444,0.78125,0.874504718525655,0.854552469135803,0.503115294937453,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","LOCO-CV","1","1","5",0.722222222222222,0.722222222222222,0.694444444444444,0.735294117647059,0.79653671527138,0.784722222222222,0.445131907259726,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","LOCO-CV","1","2","1",0.694444444444444,0.685714285714286,0.633333333333333,0.633333333333333,0.566300263673256,0.737301587301587,0.371428571428571,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","LOCO-CV","1","2","1",0.638888888888889,0.647619047619048,0.7,0.552631578947368,0.520329817690205,0.685714285714286,0.291558972135382,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","LOCO-CV","1","2","2",0.819444444444444,0.819805194805195,0.821428571428571,0.741935483870968,0.847213552565648,0.890422077922078,0.62972087219563,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","LOCO-CV","1","2","2",0.805555555555556,0.808441558441558,0.821428571428571,0.71875,0.782286125810541,0.848214285714286,0.60520603983218,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","LOCO-CV","1","2","3",0.791666666666667,0.775060144346431,0.689655172413793,0.769230769230769,0.780360405785438,0.804330392943063,0.561726999924549,NA,NA,"DILIrank 
 (-vLessConcern)"
